
2023-09-12^10:20:52:678^INFO^         error_stack^0222^  File "/usr/local/lib/python3.11/dist-packages/gandan/GandanMsg.py", line 80, in recv
    raise Exception('conn')

2023-09-12^10:20:52:808^INFO^                 mon^0171^[<class 'list'>]
2023-09-12^10:20:52:809^INFO^                 mon^0172^mon data for topic[MYDATA]
2023-09-12^10:20:52:809^INFO^                 mon^0174^no topic for data
2023-09-12^10:20:52:809^INFO^              handle^0142^b"{'this_is_test': 10}"
2023-09-12^10:20:52:809^INFO^                 pub^0128^PUB[MYDATA], ^{'this_is_test': 10}^20 r[25]w[25]
2023-09-12^10:20:53:483^INFO^         error_stack^0219^#Error<class 'Exception'>conn
2023-09-12^10:20:53:484^INFO^         error_stack^0222^  File "/usr/local/lib/python3.11/dist-packages/gandan/Gandan.py", line 46, in handler
    h = GandanMsg.recv(None, _req)
        ^^^^^^^^^^^^^^^^^^^^^^^^^^

2023-09-12^10:20:53:484^INFO^         error_stack^0222^  File "/usr/local/lib/python3.11/dist-packages/gandan/GandanMsg.py", line 80, in recv
    raise Exception('conn')

2023-09-12^10:21:07:585^INFO^                 mon^0171^[<class 'list'>]
2023-09-12^10:21:07:585^INFO^                 mon^0172^mon data for topic[MYDATA]
2023-09-12^10:21:07:585^INFO^                 mon^0174^no topic for data
2023-09-12^10:21:07:585^INFO^              handle^0142^b'HB'
2023-09-12^10:21:07:585^INFO^                 pub^0128^PUB[MYDATA], ^HB^2 r[26]w[26]
2023-09-12^10:21:07:585^INFO^                 mon^0171^[<class 'list'>]
2023-09-12^10:21:07:585^INFO^                 mon^0172^mon data for topic[MYDATA]
2023-09-12^10:21:07:585^INFO^                 mon^0174^no topic for data
2023-09-12^10:21:07:585^INFO^              handle^0142^b"{'this_is_test': 0}"
2023-09-12^10:21:07:585^INFO^                 pub^0128^PUB[MYDATA], ^{'this_is_test': 0}^19 r[27]w[27]
2023-09-12^10:21:08:585^INFO^                 mon^0171^[<class 'list'>]
2023-09-12^10:21:08:585^INFO^                 mon^0172^mon data for topic[MYDATA]
2023-09-12^10:21:08:585^INFO^                 mon^0174^no topic for data
2023-09-12^10:21:08:585^INFO^              handle^0142^b"{'this_is_test': 1}"
2023-09-12^10:21:08:585^INFO^                 pub^0128^PUB[MYDATA], ^{'this_is_test': 1}^19 r[28]w[28]
2023-09-12^10:21:09:585^INFO^                 mon^0171^[<class 'list'>]
2023-09-12^10:21:09:585^INFO^                 mon^0172^mon data for topic[MYDATA]
2023-09-12^10:21:09:585^INFO^                 mon^0174^no topic for data
2023-09-12^10:21:09:585^INFO^              handle^0142^b"{'this_is_test': 2}"
2023-09-12^10:21:09:585^INFO^                 pub^0128^PUB[MYDATA], ^{'this_is_test': 2}^19 r[29]w[29]
2023-09-12^10:21:10:586^INFO^                 mon^0171^[<class 'list'>]
2023-09-12^10:21:10:586^INFO^                 mon^0172^mon data for topic[MYDATA]
2023-09-12^10:21:10:586^INFO^                 mon^0174^no topic for data
2023-09-12^10:21:10:586^INFO^              handle^0142^b"{'this_is_test': 3}"
2023-09-12^10:21:10:586^INFO^                 pub^0128^PUB[MYDATA], ^{'this_is_test': 3}^19 r[30]w[30]
2023-09-12^10:21:11:587^INFO^                 mon^0171^[<class 'list'>]
2023-09-12^10:21:11:587^INFO^                 mon^0172^mon data for topic[MYDATA]
2023-09-12^10:21:11:587^INFO^                 mon^0174^no topic for data
2023-09-12^10:21:11:587^INFO^              handle^0142^b"{'this_is_test': 4}"
2023-09-12^10:21:11:587^INFO^                 pub^0128^PUB[MYDATA], ^{'this_is_test': 4}^19 r[31]w[31]
2023-09-12^10:21:12:586^INFO^                 mon^0171^[<class 'list'>]
2023-09-12^10:21:12:586^INFO^                 mon^0172^mon data for topic[MYDATA]
2023-09-12^10:21:12:586^INFO^                 mon^0174^no topic for data
2023-09-12^10:21:12:586^INFO^              handle^0142^b"{'this_is_test': 5}"
2023-09-12^10:21:12:586^INFO^                 pub^0128^PUB[MYDATA], ^{'this_is_test': 5}^19 r[32]w[32]
2023-09-12^10:21:13:587^INFO^                 mon^0171^[<class 'list'>]
